84,深圳市市级财政专项资金管理办法,,60,57,深圳市龙华区人民政府办公室关于印发《龙华区扶持股份合作公司发展专项资金管理办法（修订）》的通知; 深圳市交通运输局关于印发《深圳市交通运输专项资金民航业领域资助资金实施细则》的通知; 深圳市人民政府关于印发市级财政专项资金管理办法续期的通知,municipal,measures,unverified,
85,党政机关公文处理工作条例,,57,57,市政府关于印发《上海市人民政府工作规则》的通知; 中共中央印发《中央党内法规制定工作规划纲要（2023－2027年）》; 阳江市人民政府关于印发《阳江市人民政府工作规则》的通知,unknown,regulation,unverified,
86,《机动车登记规定》第四十一条第一项,,57,57,关于对达到强制报废标准机动车登记证书、号牌、行驶证予以作废的公告; 关于对达到强制报废标准机动车登记证书、号牌、行驶证予以作废的公告; 深圳市公安局交通警察局关于对达到强制报废标准机动车登记证书、号牌、行驶证予以作废的公告,unknown,provisions,unverified,
87,《中山市国土空间总体规划（2021-2035年）》,,57,56,中山市人民政府关于中山市古镇镇绿博园片区（0104单元）01、02、04等街区控制性详细规划一般修改（2024）成果的批复; 中山市人民政府关于启动中山市东凤镇和穗片区（0311单元）控制性详细规划一般修改的批复; 中山市人民政府关于中山市民众街道保税园片区（0905单元）控制性详细规划一般修改（2024）成果的批复,unknown,plan,truly-missing,droplet-now
88,广东省环境保护条例,,56,56,广州市人民政府关于划定广州市高污染燃料禁燃区的通告; 中山市扬尘污染防治管理办法; 广州市人民政府关于整治违法排水行为的通告,provincial,regulation,unverified,
89,《机动车登记规定》第三十七条、第四十一条第一项,,56,56,关于对达到强制报废标准机动车登记证书、号牌、行驶证予以作废的公告; 关于对达到强制报废标准机动车登记证书、号牌、行驶证予以作废的公告; 关于对达到强制报废标准机动车登记证书、号牌、行驶证予以作废的公告,unknown,provisions,unverified,
90,中国共产党党内监督条例,,71,55,中共深圳市发展和改革委员会党组关于涉粮问题专项巡察整改进展情况的通报; ● 中央纪委秘书长、中央巡视工作领导小组成员杨晓超就学习贯彻新修改的《中国共产党巡视工作条例》答记者问; 中共中央印发《中央党内法规制定工作规划纲要（2023－2027年）》,unknown,regulation,unverified,
91,广东省法治政府建设实施纲要,,69,55,中共深圳市龙华区龙华街道工作委员会 深圳市龙华区龙华街道办事处2022年法治政府建设年度报告; 深圳市龙华区平安建设中心2022年法治政府建设年度报告; 揭阳市人民政府关于揭阳市2022年法治政府建设情况的报告,provincial,plan,truly-missing,droplet-now
92,中华人民共和国国民经济和社会发展第十二个五年规划纲要,,60,55,国务院办公厅关于印发国内贸易发展“十二五”规划的通知; 国务院办公厅关于印发安全生产“十二五”规划的通知; 国家民委关于印发坚持和完善民族理论政策体系规划（2011—2015年）的通知,unknown,plan,unverified,
93,无照经营查处取缔办法,,56,54,关于濂泉路服装市场周边地区综合整治的通告; 江门市清理整治无证无照实心粘土砖厂工作方案; 上海市活禽交易管理办法(市政府令第3号),unknown,measures,unverified,
94,法治政府建设实施纲要（2015—2020年）,,55,54,国家知识产权局办公室关于开展专利侵权纠纷行政裁决示范建设工作的通知; 揭阳市人民政府关于揭阳市2017年度法治政府建设工作情况的报告; 揭阳市人民政府关于揭阳市2017年度法治政府建设工作情况的报告,unknown,plan,truly-missing,droplet-now
95,律师事务所年度检查考核办法（司法部令第121号）,,54,54,2021年度律师事务所年度检查考核结果公示（第五批）; 2023年度律师事务所年度检查考核结果公示（第十批）; 2022年度律师事务所年度检查考核结果公示（第十批）,unknown,measures,truly-missing,targeted-fetch
96,广东省司法厅关于律师事务所年度检查考核的实施细则（2019年修订）（粤司规〔2019〕3号）,粤司规〔2019〕3号,54,54,2021年度律师事务所年度检查考核结果公示（第五批）; 2023年度律师事务所年度检查考核结果公示（第十批）; 2022年度律师事务所年度检查考核结果公示（第十批）,provincial,rules,truly-missing,targeted-fetch
97,中共中央 国务院关于全面深化新时代教师队伍建设改革的意见,,66,53,教育部办公厅关于开展人工智能助推教师队伍建设行动试点工作的通知; 教育部办公厅 财政部办公厅关于做好2023年农村义务教育阶段学校教师特设岗位计划实施工作的通知; 教育部办公厅 财政部办公厅关于做好2019年中小学幼儿园教师国家级培训计划组织实施工作的通知,central,opinion,unverified,
98,广东省律师执业年度考核管理办法（试行）（粤律协﹝2020﹞41号）,,53,53,2021年度律师事务所年度检查考核结果公示（第五批）; 2023年度律师事务所年度检查考核结果公示（第十批）; 2022年度律师事务所年度检查考核结果公示（第十批）,provincial,measures,truly-missing,targeted-fetch
99,新型冠状病毒肺炎疫情防控方案（第九版）,,53,53,深圳市龙华区新型冠状病毒肺炎疫情防控指挥部办公室通告（第137号）; 深圳市龙华区新型冠状病毒肺炎疫情防控指挥部办公室通告（第60号）; 深圳市龙华区新型冠状病毒肺炎疫情防控指挥部办公室通告（第61号）,unknown,plan,truly-missing,targeted-fetch
100,深科技创新规〔2022〕5号,深科技创新规〔2022〕5号,53,53,深圳市科技创新局关于发布软件大厦2025年第2批创新型产业用房租赁的公告; 深圳市科技创新局关于发布软件大厦2026年第5批创新型产业用房扩租的公告; 深圳市科技创新委员会关于发布深圳高新区生物孵化器2023年第4批创新型产业用房租赁的通告,unknown,unknown,unverified,
101,供应商基本情况表,,53,53,深圳市民政局关于2025年深圳市银发产业统计监测项目的采购公告; 深圳市人力资源和社会保障局房屋设备维修工程造价项目询价公告; 深圳市殡葬服务中心微信公众号云追思运营服务项目采购公告,unknown,unknown,unverified,
102,法治政府建设实施纲要（2015-2020年）,,59,52,关于失效市政府规范性文件目录的政策解读; 2016年坪山新区管委会工作报告; 上海市人民政府关于废止部分行政规范性文件的通知,unknown,plan,truly-missing,droplet-now
103,中共广东省委、广东省人民政府关于印发〈广东省人民政府机构改革方案〉的通知,,52,52,印发广东省审计厅主要职责内设机构和人员编制规定的通知; 印发广东省人民政府办公厅主要职责内设机构和人员编制规定的通知; 印发广东省环境保护厅主要职责内设机构和人员编制规定的通知,provincial,plan,unverified,
104,广州市突发事件总体应急预案,,52,52,广州市人民政府办公厅关于印发广州市生产安全事故应急预案的通知; 广州市人民政府办公厅关于印发广州市全国普通高校招生考试突发事件应急预案的通知; 广州市人民政府办公厅关于印发广州市地震应急预案的通知,unknown,unknown,unverified,
105,中国共产党机构编制工作条例,,72,51,深圳市龙华区政协委员联络服务中心章程; 南平市委编办构建“三链协同”监督体系提升监督检查质效; 中国社会科学院职能配置、内设机构和人员编制规定,unknown,regulation,unverified,
106,广东省国土资源厅关于印发广东省征地补偿保护标准（2016年修订调整）的通知,,51,51,惠州市人民政府关于惠阳区2018年度第九批次城镇建设用地土地征收的公告; 中山市人民政府关于中山市公益性项目用地征收补偿的实施意见; 惠州市人民政府关于惠城区2015年度第八批次城镇建设用地（地块1、2）土地征收的公告,provincial,standard,truly-missing,droplet-now
107,深圳市公共租赁住房轮候与配租暂行办法,,64,50,深圳市住房和建设局关于龙海家园公共租赁住房终审合格家庭名单公示及选房签约等有关事项的通告; 深圳市住房保障署关于葵福嘉园住房面向公共租赁住房在册轮候人配租有关事项的通告; 关于重新发布《龙岗区人才住房管理实施细则》的政策解读,municipal,measures,unverified,
108,广东省征地补偿保护标准（粤国土资利用发〔2011〕21号）,粤国土资利用发〔2011〕21号,50,50,惠州市人民政府关于惠州市矮陂温泉建设项目村留用地征地的预公告; 惠州市人民政府关于惠城区汝湖生活污水处理厂建设项目用地征地的预公告; 惠州市人民政府关于惠州报业传媒集团周边道路市政工程建设项目用地征地的预公告,provincial,standard,truly-missing,droplet-now
109,珠江三角洲地区改革发展规划纲要（2008－2020年）,,54,49,关于印发广东省全民科学素质行动计划纲要实施方案（2011-2015年）的通知; 印发广东省国民经济和社会发展第十二个五年规划纲要的通知; 印发粤东地区经济社会发展规划纲要（2011—2015年）的通知,unknown,plan,unverified,
110,广东省工伤保险条例,,50,49,印发《中山市安全生产责任制考核办法》的通知; 深圳市社会保险基金管理局关于申请确定为广东省工伤保险医疗服务协议机构评估合格名单的公示; 韶关市人民政府办公室印发关于进一步加强全市政府专职消防队伍建设意见的通知(韶府办〔2014〕73号),provincial,regulation,unverified,
111,深化党和国家机构改革方案,,53,48,国家卫生健康委员会公告（2018年 第12号）; 中华人民共和国国家发展和改革委员会 2019年第28号令; 国务院办公厅关于印发国家森林草原火灾应急预案的通知,central,plan,unverified,
112,国家中长期教育改革和发展规划纲要（2010-2020年）,,51,48,教育部关于印发《国际合作联合实验室计划》的通知; 市政府办公厅转发市教委等十六部门关于加强校企合作提高高等教育、职业教育质量意见的通知; 教育部关于深化高等学校科技评价改革的意见,central,plan,truly-missing,droplet-now
113,城市消防站建设标准,,49,48,关于切实加强全省消防工作的通知; 广东省人民政府关于加强和改进消防工作的实施意见; 广东省专职消防队建设管理规定,unknown,standard,unverified,
114,化妆品监督管理条例,,49,48,惠州市人民政府办公室关于印发惠州市推动化妆品产业高质量发展实施方案的通知; 国家市场监督管理总局 自然资源部 生态环境部 水利部 国家药监局关于组织开展2021年度检验检测机构监督抽查工作的通知; 国家市场监督管理总局 自然资源部 生态环境部 水利部 国家药监局关于组织开展2021年度检验检测机构监督抽查工作的通知,unknown,regulation,FALSE-MISSING (we hold it),skip
115,国民体质测定标准,,48,48,阳江市人民政府关于印发阳江市深入开展爱国卫生运动实施方案的通知; 广东省人民政府关于深入开展爱国卫生运动的实施意见; 揭阳市人民政府关于实施健康揭阳行动的意见,unknown,standard,unverified,
116,建设项目使用林地审核审批管理办法,,48,48,阳江市人民政府关于清理规范市政府部门行政审批中介服务事项的通知（阳府〔2016〕54号）; 重庆市林业局关于印发重庆市建设项目使用林地审核审批若干规定的通知 (发文字号：渝林规范〔2025〕3号成文日期 ：2025年06月10日); 广东省人民政府关于十二届全国人大四次会议第8806号建议答复的函（摘要）,unknown,measures,unverified,
117,关于印发中小企业划型标准规定的通知,,48,48,坪山区发展和改革局关于发布《深圳市坪山区强化金融支持中小微企业发展的措施》延期的通知; 福建省人民政府安委会办公室关于全面提升工矿商贸企业安全生产标准化建设质量的意见; 关于加快落实承租非国有房屋科技型孵化器房租减免补贴政策的通知,unknown,provisions,truly-missing,droplet-now
118,中华人民共和国工业和信息化部 财政部 国家税务总局公告,,48,48,《道路机动车辆生产及产品》（第334批）、《新能源汽车推广应用推荐车型目录》（2020年第8批）、《享受车船税减免优惠的节约能源使用新能源汽车车型目录》（第十七; 关于发布《免征车辆购置税的新能源汽车车型目录》（第十八批）的公告; 免征车辆购置税的新能源汽车车型目录（第三十二批）,central,announcement,truly-missing,droplet-now
119,关于大鹏新区部分人才奖励补贴业务安排的公告,,54,47,关于2023年大鹏新区杰出人才和高层次人才奖励补贴拟发放人员名单的公示（第二批次）; 关于2025年大鹏新区杰出人才和高层次人才奖励补贴拟发放人员名单的公示（第一批次）; 关于2023年大鹏新区杰出人才和高层次人才奖励补贴拟发放人员名单的公示（第七批次）,district,announcement,unverified,
120,不动产登记暂行条例,,52,47,七问七答轻松搞懂“不动产统一登记”; （已失效）珠海市人民政府关于印发珠海市加强科技企业孵化器用地管理意见（试行）的通知(珠府〔2019〕41号); 自然资源部办公厅关于印发《自然资源部2022年立法工作计划》的通知,unknown,regulation,FALSE-MISSING (we hold it),skip
121,中共中央国务院关于深化医药卫生体制改革的意见,,50,47,关于加快广东省民营医疗机构发展的意见; 国务院办公厅关于印发国家职业病防治规划(2009—2015年)的通知; 国务院关于促进健康服务业发展的若干意见,central,opinion,unverified,
122,福建省职称评审管理暂行办法,,50,47,关于2022年度高级审计师任职资格评审结果的公示; 福建省司法厅职称改革领导小组关于报送2025年律师 公证员中级专业技术职务任职资格评审材料的通知; 2025年福建省广播电视工程专业中、初级职务任职资格评审结果公示,provincial,measures,unverified,
123,国家教育考试违规处理办法,,48,47,2021年下半年中小学和幼儿园教师资格考试深圳考区面试通告; 2024年第二次普通高中学业水平合格性考试将于7月11日至12日举行; 北京市教育委员会关于印发北京市普通高中学业水平考试实施办法的通知,central,measures,unverified,
124,深圳市住房和建设局内部自行采购管理办法,,47,46,深圳市住房和建设局关于参与实名制和分账制检查和技术支持服务项目(2023年度)自行采购的招标公告（二次招标）; 深圳市住房和建设局2021年度物业领域纠纷辅助调解专项法律服务项目招标公告; 深圳市住房和建设局关于《绿色物业管理项目评价标准技术细则》编制项目的招标公告,municipal,measures,unverified,
125,转发省人力资源和社会保障厅关于进一步做好我省被征地农民养老保障工作意见的通知,,46,46,揭阳市人民政府征收土地公告; 揭阳市人民政府征收土地公告; 揭阳市人民政府征收土地公告,provincial,opinion,unverified,
126,深圳市基本生态控制线管理规定,,46,46,深圳市规划和自然资源局宝安管理局关于松岗街道环象山及周边片区山洪截滞工程涉及基本生态控制线的公示; 深圳市人民政府关于印发大鹏新区国民经济和社会发展第十四个五年规划和二〇三五年远景目标纲要的通知; 深圳市前海管理局关于赤湾二路电力隧道新建工程及左炮台路（赤湾六路-赤湾二路）改造工程-电力隧道配套电缆沟工程涉及基本生态控制线的公示,municipal,provisions,unverified,
127,中发〔2020〕5号,中发〔2020〕5号,45,45,中山市人民政府关于印发中山市职工医疗保险办法的通知; 中山市人民政府关于完善中山市医疗保障相关政策的通知; 广东省医疗保障局  广东省财政厅关于全面开展省内异地就医门诊医疗费用直接结算工作的通知,central,unknown,unverified,
128,十四五规划,,45,45,在大数据与AI融合中大健康“未来已来”; 大鹏新区2025年管理委员会工作报告; 市委常委会召开会议，毫不松懈抓细抓实疫情防控各项措施 扎实推动科技创新和产业创新深度融合,unknown,plan,unverified,
129,深圳市教育局机关自行采购管理办法,,45,45,深圳市教育局关于公开遴选《深圳经济特区高等教育促进条例》研制项目承办机构的公告; 深圳市教育局关于遴选普通高中体育与健康学业水平考试方案研制专业机构的公告; 深圳市教育局关于遴选2022年深圳市大中小学生体育竞赛颁奖典礼相关服务机构的通告,municipal,measures,unverified,
130,生活饮用水水质标准,,45,45,深圳市水务局2024年5月城市供水水质公报; 你家自来水干净吗？12月水质检测结果出炉！; 深圳市水务局2025年2月城市供水水质公报,unknown,standard,unverified,
131,认证机构管理办法,,46,44,市场监管总局关于撤销北京朗信联合认证中心有限公司《认证机构批准书》的公告; 市场监管总局关于注销重庆德新机器人检测中心有限公司《认证机构批准书》的公告; 市场监管总局 工业和信息化部关于发布《电器电子产品有害物质限制使用合格评定制度实施安排》的公告,unknown,measures,unverified,
132,广东省燃气管理条例,,45,44,印发江门市燃气管道设施保护暂行办法的通知【已失效】; 关于废止部分市政府规范性文件的决定; 批转市建设局关于加强城市管道燃气建设管理工作意见的通知,provincial,regulation,unverified,
133,财政部 国家发展改革委关于开展节能产品惠民工程的通知,,44,44,节能产品惠民工程高效节能空气源热泵热水器(机)推广企业目录(第四批) 2013年第13号公告; 节能产品惠民工程高效节能台式微型计算机推广目录(第三批) 2013年第12号公告; 节能产品惠民工程高效节能单元式空气调节机和冷水机组推广企业目录(第二批) 2013年第11号公告,central,notice,unverified,
134,财政部 税务总局 海关总署公告2019年第39号,,44,44,国家税务总局关于发布出口退税率文库2019B版的通知; 国家税务总局关于干姜姜黄增值税适用税率问题的公告; 住房和城乡建设部办公厅关于重新调整建设工程计价依据增值税税率的通知,unknown,announcement,unverified,
135,国家税务总局公告2011年第2号,,44,44,国家税务总局关于印发《调整和完善消费税政策征收管理规定》的通知; 国家税务总局对外贸易经济合作部关于规范出口贸易和退税程序防范打击骗取出口退税行为的通知; 国家税务总局关于加强委托加工应税消费品征收管理的通知,central,announcement,truly-missing,droplet-now
136,医疗机构管理条例实施细则,,47,43,重庆市卫生健康委员会关于江津区中医院新增执业地址设置审批前的公示; 关于进一步规范医疗机构名称管理工作的通知; 《中医诊所备案管理暂行办法》10问10答,unknown,regulation,unverified,
137,全国工业用地出让最低价标准,,45,43,广东省人民政府办公厅关于加强征收农村集体土地留用地安置管理工作的意见; 江门市人民政府印发《江门市关于进一步加快民营经济发展的若干措施》的通知【已废止】; 韶关市人民政府关于印发《关于进一步加强招商引资工作的意见》的通知（韶府〔2015〕49号）,central,standard,unverified,
138,国务院关于印发社会信用体系建设规划纲要（2014-2020年）的通知,,45,43,印发《关于对慈善捐赠领域相关主体实施守信联合激励和失信联合惩戒的合作备忘录》的通知; 国家税务总局关于修订《重大税收违法案件信息公布办法（试行）》的公告; 国家税务总局关于纳税信用评价有关事项的公告,central,plan,unverified,
139,广东省物业管理条例,,44,43,广州市人民政府关于加强整治非法住改仓的通告; （已失效）珠海市人民政府关于印发珠海市业主大会和业主委员会指导规则的通知（珠府〔2015〕72号）; 广州市人民政府关于印发广州市用户共用用水设施管理办法的通知（已失效）,provincial,regulation,unverified,
140,广东省征地补偿保护标准（2016年修订调整）,,43,43,惠州市人民政府关于仲恺高新区潼湖生态智慧区创新小镇建设工程项目用地土地征收的预公告; 惠州市人民政府关于大湖溪沥水环境综合整治工程项目用地土地征收的预公告; 惠州市人民政府关于新能源产业园项目用地土地征收的预公告,provincial,standard,truly-missing,droplet-now
141,深圳市市级机关培训费管理办法,,54,42,关于遴选2025年鹏城教育名家深化培养项目承办单位的招标公告; 深圳市教育局关于遴选2024年深圳市校园食品安全管理人员培训承办单位的公告; 深圳市教育局关于遴选2026年深圳市思政教师专业素质与能力培训班承办单位的公告,municipal,measures,unverified,
142,中共中央 国务院关于开展质量提升行动的指导意见,,49,42,韶关市人民政府办公室关于对首届韶关市政府质量奖获奖企业予以表扬的通报(韶府办〔2019〕39号); 深圳市住房和建设局2022年部门预算; 市场监管总局关于加强国家产业计量测试中心建设的指导意见,central,opinion,unverified,
143,财政部 国家税务总局 科技部关于完善研究开发费用税前加计扣除政策的通知,,43,42,关于进一步完善研发费用税前加计扣除政策的公告; 深圳市科技创新局关于发布《深圳市技术合同认定登记办理指南（2026年版）》的通知; 中华人民共和国工业和信息化部国家发展改革委财政部国家税务总局公告2021年第10号,central,notice,unverified,
144,关于印发〈广东省人民政府机构改革 方案〉的通知,,42,42,印发广东省人民政府侨务办公室职能配置、内设机构和人员编制规定的通知; 印发广东省体育局职能配置、内设机构和人员编制规定的通知; 印发广东省药品监督管理局职能配置、内设机构和人员编制规定的通知,provincial,plan,unverified,
145,珠府办函〔2015〕2号,珠府办函〔2015〕2号,42,42,珠海市人民政府办公室关于2017年2月份市政府门户网站内容保障情况的通报（珠府办函〔2017〕49号）; 珠海市人民政府办公室关于2018年5月份市政府门户网站内容保障情况的通报（珠府办函〔2018〕134号）; 关于2015年1月份市政府门户网站内容保障情况的通报（珠府办函〔2015〕25号）,unknown,unknown,unverified,
146,珠海市人民政府办公室关于做好重要政策信息转载工作的通知,,42,42,珠海市人民政府办公室关于2017年2月份市政府门户网站内容保障情况的通报（珠府办函〔2017〕49号）; 珠海市人民政府办公室关于2018年5月份市政府门户网站内容保障情况的通报（珠府办函〔2018〕134号）; 关于2015年1月份市政府门户网站内容保障情况的通报（珠府办函〔2015〕25号）,unknown,notice,unverified,
147,道路交通安全违法行为处理程序规定（公安部令第157号）,,42,42,关于公布启用5套交通技术监控设备的公告; 关于公布启用27套交通技术监控设备的公告; 深圳市公安局交通警察局关于公布启用585套交通技术监控设备的公告,unknown,provisions,truly-missing,droplet-now
148,国家税务总局关于发布的公告,,42,42,财政部国家税务总局民政部关于生产和装配伤残人员专门用品企业免征企业所得税的通知; 国家税务总局关于出口含金成分产品有关税收政策的通知; 国家税务总局关于印发《纳税人涉税保密信息管理暂行办法》的通知,central,announcement,unverified,
149,深圳市拆除重建类城市更新单元计划管理规定,,54,41,大鹏新区城市更新和土地整备局关于大鹏新区大鹏办事处王母旧墟中山里片区城市更新单元计划调整更新意愿公示的通告; 大鹏新区住房和建设局关于葵涌办事处上洞片区城市更新单元申报主体（草案）公示的通告; 坪山区城市更新和土地整备局2021年普法履职自评报告,municipal,provisions,unverified,
150,道路交通安全违法行为记分管理办法,,51,41,深圳市公安局交通警察局关于机动车驾驶证停止使用的公告; 关于机动车驾驶证停止使用的公告; 深圳市公安局交通警察局关于机动车驾驶证停止使用的公告,unknown,measures,unverified,
151,广东省地名管理条例,,47,41,阳江市人民政府关于印发《阳江市门楼牌管理办法》的通知; 阳江市人民政府办公室关于永康一路等市区四条规划道路命名的批复（阳府办复〔2018〕13号）; 广州市门楼号牌管理规定,provincial,regulation,unverified,
152,生产安全事故应急预案管理办法,,46,41,深圳市水务局2019年度部门预算情况; 市场监管总局关于印发特种设备突发事件应急预案的通知; 2018年深圳市龙岗区安全生产监督管理局部门预算,unknown,measures,unverified,
153,机关、团体、企业、事业单位消防安全管理规定,,43,41,关于切实加强全省消防工作的通知; 韶关市人民政府关于2014年度市属消防安全重点单位的通告(韶府〔2014〕18号); 深圳市大鹏新区消防救援大队公开招聘1名编外人员的公告,unknown,provisions,unverified,
154,福建省工业和信息化厅采购管理暂行规定,,43,41,福建省无线电管理办公室关于无线电频率与台站数据完整性准确性研究服务项目询价采购的公告; 福建省无线电监测站关于基于型号核准的福建无线电产业赋能机制与发展策略研究询价采购的公告; 福建省无线电监测站关于面向低空经济的无线电监测保障研究服务项目询价采购的公告,provincial,provisions,unverified,
155,广东省公路条例,,41,41,中山市人民政府关于划定横涌路（兴涌东路至隆盛路段）道路工程公路用地及公路两侧建筑控制区范围的公告; 江门市人民政府关于印发江门市桥梁桥下空间合理利用管理办法的通知; 珠海市人民政府关于划定公路建筑控制区范围的公告珠府〔2015〕76号,provincial,regulation,unverified,
156,国务院关于印发〈推动大规模设备更新和消费品以旧换新行动方案〉的通知,,41,41,省政府关于印发江苏省推动大规模设备更新和消费品以旧换新行动方案的通知; 交通运输部 国家发展改革委 财政部关于实施老旧营运货车报废更新的通知; 商务部等8部门办公厅关于做好2025年汽车以旧换新工作的通知,central,action_plan,unverified,
157,穗字〔2009〕11号,穗字〔2009〕11号,41,41,印发广州市城市管理委员会主要职责内设机构和人员编制规定的通知; 印发广州市知识产权局主要职责内设机构和人员编制规定的通知; 印发广州市人民政府驻北京办事处主要职责内设机构和人员编制规定的通知,unknown,unknown,unverified,
158,市管干部任前公示办法,,49,40,关于杨进昌等同志提拔任用的公示; 关于赖思平等同志提拔任用的公示; 关于李云开同志提拔任用的公示,unknown,measures,unverified,
159,公共机构节能条例,,43,40,坪山区机关事务管理中心2023年普法履职自评报告; 国家机关事务管理局关于印发《公共机构能源资源消费统计调查制度》的通知; 广东省公共机构节能办法,unknown,regulation,unverified,
160,粤发〔2009〕8号,粤发〔2009〕8号,40,40,印发广东省人民政府办公厅主要职责内设机构和人员编制规定的通知; 印发广东省环境保护厅主要职责内设机构和人员编制规定的通知; 印发广东省人口和计划生育委员会主要职责内设机构和人员编制规定的通知,provincial,unknown,unverified,
161,关于深入实施'人工智能+'行动的意见,,40,40,全国促进民营经济发展壮大现场会在湖南省长沙市召开; 关于加快推进“人工智能＋人社”应用发展的实施意见; 做难而正确的AI Infra创新——专访国产大模型推理引擎xLLM社区负责人刘童璇,unknown,opinion,FALSE-MISSING (we hold it),skip
162,关于印发〈深化医疗服务价格改革试点方案〉的通知,,40,40,《福建省医疗保障局关于规范整合体被系统类医疗服务价格项目的通知》的政策解读; 《福建省医疗保障局关于规范整合美容整形类医疗服务价格项目的通知》的政策解读; 重庆市医疗保障局关于规范妇科类医疗服务价格项目及医保支付政策的通知 (发文字号：渝医保发〔2026〕4号成文日期 ：2026年01月28日),unknown,plan,unverified,
163,中共中央 国务院关于推进安全生产领域改革发展的意见,,46,39,工业和信息化部 国家发展改革委 科技部 财政部 应急管理部关于印发《安全应急装备重点领域发展行动计划（2023－2025年）》的通知; 住房和城乡建设部办公厅关于印发2019年安全生产工作要点的通知; 工业和信息化部办公厅关于印发《民用爆炸物品生产和销售企业安全生产培训大纲》的通知,central,opinion,unverified,
164,财政部关于做好公共租赁住房和廉租住房并轨运行有关财政工作的通知,,45,39,大鹏新区住房和建设局关于2024年第一季度廉租住房货币补贴发放名单的公示; 大鹏新区启动2024年第三季度廉租住房货币补贴公示工作; 大鹏新区住房和建设局关于2025年第一季度廉租住房货币补贴发放名单的公示,unknown,notice,unverified,
165,中共中央 国务院关于促进中医药传承创新发展的意见,,44,39,北京市医疗保障局 北京市中医药管理局关于医保支持中医药传承创新发展的实施意见; 国务院办公厅印发关于加快中医药特色发展若干政策措施的通知; 国家中医药管理局关于印发《中医药标准化行动计划（2024—2026年）》的通知,central,opinion,unverified,
166,中共中央国务院关于深化医疗保障制度改革的意见,,41,39,中山市人民政府关于印发中山市职工医疗保险办法的通知; 中山市人民政府关于完善中山市医疗保障相关政策的通知; 珠海市人民政府关于印发珠海市基本医疗保险办法的通知（珠府〔2024〕57号）,central,opinion,unverified,
167,财政部 税务总局 工业和信息化部 科技部关于免征新能源汽车车辆购置税的公告,,39,39,《道路机动车辆生产企业及产品》（第407批）、《享受车船税减免优惠的节约能源 使用新能源汽车车型目录》（第八十六批）、《减免车辆购置税的新能源汽车车型目录》（第; 《道路机动车辆生产企业及产品》（第352批）、《新能源汽车推广应用推荐车型目录》（2022年第1批）、《享受车船税减免优惠的节约能源使用新能源汽车车型目录》（第; 《道路机动车辆生产企业及产品》（第379批）、《享受车船税减免优惠的节约能源 使用新能源汽车车型目录》（第五十八批）、《减免车辆购置税的新能源汽车车型目录》（第,central,announcement,unverified,
168,民办非企业单位年度检查办法,,53,38,深圳市民政局《行政处罚听证告知书》送达公告; 深圳市民政局关于给予综合开发研究院（中国·深圳）培训中心撤销登记行政处罚的公告; 深圳市民政局对深圳市社会科学培训中心作出撤销登记的行政处罚,unknown,measures,unverified,
169,中共中央 国务院关于进一步深化电力体制改革的若干意见,,43,38,国家发展改革委国家能源局关于进一步推进增量配电业务改革的通知; 国家发展改革委办公厅 国家能源局综合司关于建立增量配电业务改革试点项目直接联系制度的通知; 国家发展改革委关于印发《区域电网输电价格定价办法》的通知,central,opinion,unverified,
170,医疗质量管理办法,,42,38,国家卫生健康委办公厅关于印发医疗机构手术分级管理办法的通知; 国家卫生健康委办公厅关于印发门（急）诊诊疗信息页质量管理规定（试行）的通知; 《脑机接口研究伦理指引》和《人—非人动物嵌合体研究伦理指引》发布,unknown,measures,unverified,
171,国家体育锻炼标准,,38,38,北京市人民政府关于印发《“十四五”时期健康北京建设规划》的通知; 2002年政府工作报告; 国务院关于印发全民健身计划（2016—2020年）的通知,central,standard,unverified,
172,使用广东省政府网信息推送方案的说明,,38,38,珠海市人民政府办公室关于2017年2月份市政府门户网站内容保障情况的通报（珠府办函〔2017〕49号）; 珠海市人民政府办公室关于2018年5月份市政府门户网站内容保障情况的通报（珠府办函〔2018〕134号）; 关于2015年5月份市政府门户网站内容保障情况的通报（珠府办函〔2015〕117号）,provincial,plan,unverified,
173,中共广州市委广州市人民政府关于印发〈广州市人民政府机构改革方案〉、〈广州市人民政府机构改革方案实施意见〉的通知,,38,38,印发广州市城市管理委员会主要职责内设机构和人员编制规定的通知; 印发广州市知识产权局主要职责内设机构和人员编制规定的通知; 印发广州市人民政府驻北京办事处主要职责内设机构和人员编制规定的通知,unknown,opinion,unverified,
174,道路交通安全违法行为处理程序规定（公安部令105号）,,38,38,深圳市公安局交通警察局关于公布启用10套交通技术监控设备的公告; 深圳市公安局交通警察局关于公布启用174套交通技术监控设备的公告; 深圳市公安局交通警察局关于公布启用72套交通技术监控设备的公告,unknown,provisions,truly-missing,droplet-now
175,党政主要负责人履行推进法治建设第一责任人职责规定,,45,37,深圳市龙华区观澜街道2021年法治政府建设年度报告; 深圳市龙华区发展和改革局2025年法治政府建设报告; 市场监管总局2022年法治政府建设年度报告,unknown,provisions,unverified,
176,深圳市人民政府重大行政决策程序规定,,43,37,关于整合市公安局服务热线接入市政府12345服务热线的听证公告; 深圳市住房和建设局关于召开《深圳市业主大会和业主委员会指导规则（修订征求意见稿）》听证会的公告; 深圳市住房和建设局关于发布《深圳市装配式建筑项目建设管理办法（修订稿）》听证会参与人员名单的公告,municipal,provisions,unverified,
